GRBa,GRB X-ray position,Error,Instrument,IPNb,XAb,OTb,RAb,IAUC,zc,position,sod,seen_by_fermi,name
220618A,02h35m52s +55° 13',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (38.96666667, 55.21666667)>",33029.92,True,bn220618382
220617AS,10h27m50s +15° 32',5,Fermi,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (156.95833333, 15.53333333)>",33029.92,False,
220611A,04h26m06s -37° 17',3,Swift,,y,y,,,2.3608,"<SkyCoord (ICRS): (ra, dec) in deg
    (66.525, -37.28333333)>",33029.92,False,
220609B,23h11m10s +00° 23',114*8,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (347.79166667, 0.38333333)>",33029.92,False,
220606BS,01h53m54s -54° 55',5,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (28.475, -54.91666667)>",33029.92,False,
220601A,14h58m49s -47° 59',420*11,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (224.70416667, -47.98333333)>",33029.92,False,
220528AS,20h51m51s +18° 51',408*21,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (312.9625, 18.85)>",33029.92,False,
220527A,21h34m17s +21° 34',5,Fermi,y,y,y,,,0.857,"<SkyCoord (ICRS): (ra, dec) in deg
    (323.57083333, 21.56666667)>",33029.92,False,
220525A,00h53m28s +16° 24',480*25,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (13.36666667, 16.4)>",654.24,True,bn220525008
220524B,04h41m06s -19° 29',206*4,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (70.275, -19.48333333)>",654.24,False,
220524A,01h23m27s +46° 35',100*5,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (20.8625, 46.58333333)>",654.24,False,
220521B,03h41m51s +38° 59',558*5,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (55.4625, 38.98333333)>",654.24,False,
