GRBa,GRB X-ray position,Error,Instrument,IPNb,XAb,OTb,RAb,IAUC,zc,position,sod,seen_by_fermi,name
210402A,13h13m02s +44° 31',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (198.25833333, 44.51666667)>",79456.98,True,bn210402920
210318B,17h36m55s -35° 49',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (264.22916667, -35.81666667)>",79456.98,True,bn210318925
210308A,04h28m21s +37° 25',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (67.0875, 37.41666667)>",23876.85,True,bn210308276
210306B,22h07m23s +10° 10',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (331.84583333, 10.16666667)>",34334.27,True,bn210306397
210306A,08h39m52s +60° 12',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (129.96666667, 60.2)>",14037.06,True,bn210306162
210305A,21h19m15s +34° 33',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (319.8125, 34.55)>",68584.45,True,bn210305794
210226A,08h16m33s +57° 35',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (124.1375, 57.58333333)>",17037.23,True,bn210226197
210217A,06h30m26s +68° 43',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (97.60833333, 68.71666667)>",84342.3,True,bn210217981
210211A,17h57m44s -46° 18',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (269.43333333, -46.3)>",31398.34,True,bn210211363
210210A,17h31m15s +14° 39',3,Swift,y,y,y,,,0.715,"<SkyCoord (ICRS): (ra, dec) in deg
    (262.8125, 14.65)>",7227.91,True,bn210210089
