Trigger	swift_ra	swift_dec	balrog_ra	balrog_dec	balrog_off	balrog_model	dol_ra	dol_dec	dol_err	dol_off	fluence	peak_flux
140512814	289.4	-15.1	289.9 +or- 3.5	-15.8 +or- 2.9	0.9	cpl	cdots	cdots	cdots	cdots	2.9 middot 10^-5	1.1 middot 10^1	
140716436	108.1	-60.1	102.1 +or- 2.7	-65.2 +or- 2.2	5.8	cpl	109.8	-61.5	2.2	1.6	1.2 middot 10^-5	1.1 middot 10^1	
141004973	76.7	12.8	77.2 +or- 2.6	11.6 +or- 3.1	1.3	cpl	cdots	cdots	cdots	cdots	1.2 middot 10^-6	9.8	
141220252	195.1	32.1	197.3 +or- 0.9	33.3 +or- 1.5	2.2	pl	cdots	cdots	cdots	cdots	5.3 middot 10^-6	1.2 middot 10^1	
150201574	11.8	-37.6	12.0 +or- 0.6	-37.7 +or- 0.3	0.1	cpl	cdots	cdots	cdots	cdots	6.3 middot 10^-5	8.9 middot 10^1	
150309958	277.0	86.4	276.8 +or- 15.2	86.6 +or- 0.9	0.2	cpl	284.3	83.3	1.0	3.2	4.0 middot 10^-5	1.5 middot 10^1	
150323395	260.5	38.3	262.8 +or- 3.5	36.4 +or- 2.9	2.7	cpl	262.1	37.6	1.7	1.5	1.9 middot 10^-5	8.9	
150403913	311.5	-62.7	310.1 +or- 0.7	-60.5 +or- 0.5	2.3	cpl	313.5	-61.0	1.0	1.9	5.5 middot 10^-5	3.3 middot 10^1	
150430015	326.5	-27.9	325.2 +or- 1.1	-27.4 +or- 1.7	1.3	cpl	324.6	-25.3	1.6	3.1	1.6 middot 10^-5	9.9	
150817087	249.6	-12.1	251.0 +or- 1.5	-11.7 +or- 1.4	1.4	cpl	cdots	cdots	cdots	cdots	1.2 middot 10^-5	1.6 middot 10^1	
151027166	272.5	61.4	269.3 +or- 3.6	62.1 +or- 0.6	1.7	cpl	269.8	61.4	1.1	1.3	1.4 middot 10^-5	1.1 middot 10^1	
151229285	329.4	-20.7	326.5 +or- 2.2	-20.4 +or- 1.7	2.7	pl	cdots	cdots	cdots	cdots	1.1 middot 10^-6	1.1 middot 10^1	
160325291	15.7	-72.7	13.4 +or- 3.4	-74.0 +or- 1.0	1.5	cpl	cdots	cdots	cdots	cdots	1.9 middot 10^-5	8.5	
160905471	162.2	-50.8	159.8 +or- 0.5	-53.5 +or- 0.3	3.1	cpl	cdots	cdots	cdots	cdots	7.3 middot 10^-5	1.6 middot 10^1	
161004964	112.2	-39.9	110.0 +or- 0.5	-37.7 +or- 0.7	2.8	band	cdots	cdots	cdots	cdots	1.7 middot 10^-5	1.6 middot 10^1	
161117066	322.1	-29.6	323.8 +or- 0.8	-28.3 +or- 0.7	2.0	cpl	cdots	cdots	cdots	cdots	3.1 middot 10^-5	1.0 middot 10^1	
170126480	263.6	-64.8	264.2 +or- 2.4	-67.7 +or- 1.1	3.0	cpl	cdots	cdots	cdots	cdots	8.5 middot 10^-6	1.2 middot 10^1	
170208940	127.1	-9.0	127.6 +or- 2.0	-10.4 +or- 2.4	1.5	cpl	cdots	cdots	cdots	cdots	1.0 middot 10^-5	1.2 middot 10^1	
170405777	219.8	-25.2	218.6 +or- 2.2	-23.5 +or- 2.4	2.0	cpl	cdots	cdots	cdots	cdots	7.4 middot 10^-5	1.6 middot 10^1	
170607971	7.4	9.2	5.4 +or- 1.2	12.5 +or- 1.1	3.8	pl	10.8	8.0	1.9	3.6	9.4 middot 10^-6	1.5 middot 10^1	
170626401	165.4	56.5	160.6 +or- 1.6	56.1 +or- 0.7	2.7	cpl	cdots	cdots	cdots	cdots	1.5 middot 10^-5	3.7 middot 10^1	
170705115	191.7	18.3	192.2 +or- 1.0	17.9 +or- 0.5	0.7	cpl	187.1	21.2	2.6	5.2	1.3 middot 10^-5	2.2 middot 10^1	
170906030	203.9	-47.1	201.4 +or- 0.6	-45.0 +or- 0.5	2.8	cpl	200.6	-46.0	2.1	2.5	9.5 middot 10^-5	2.2 middot 10^1	
170906039	232.2	-28.3	233.5 +or- 1.7	-29.9 +or- 1.6	2.0	cpl	235.4	-33.6	3.7	6.0	3.0 middot 10^-6	1.0 middot 10^1	
171120556	163.8	22.5	164.5 +or- 0.3	23.5 +or- 0.4	1.3	cpl	cdots	cdots	cdots	cdots	1.6 middot 10^-5	3.6 middot 10^1	
180113116	19.2	68.7	17.0 +or- 2.7	63.3 +or- 1.4	5.4	cpl	17.7	66.3	1.0	2.4	1.4 middot 10^-5	9.3	
180404091	53.4	-50.2	56.6 +or- 1.3	-52.3 +or- 0.8	2.9	cpl	53.0	-49.3	1.2	0.9	2.8 middot 10^-5	8.0	
